"","x"
"782","HR"
"783","RASGRP3"
"784","PRKAA2"
"785","RGCC"
"786","FLJ37201"
"787","NCF4"
"788","FBXL2"
"789","PPHLN1"
"790","MIR1204"
"791","NFYA"
"792","TRAF7"
"793","LINC00987"
"794","IL36A"
"795","TNFRSF13C"
"796","ZNF445"
"797","RLF"
"798","ITPRIP"
"799","TBC1D17"
"800","PRR34"
"801","PCDHGA1"
"802","APOBEC3B"
"803","FRY"
"804","PCDHGB2"
"805","RNASEH2C"
"806","TLE2"
"807","SOCS3"
"808","PIH1D2"
"809","DHRS4L1"
"810","C1orf141"
"811","FAM227A"
"812","KRT16P2"
"813","SEC24D"
"814","KATNB1"
"815","DDIT4L"
"816","FADS2"
"817","FUT3"
"818","ACTR8"
"819","URB1"
"820","IFT140"
"821","AKAP10"
"822","UGGT1"
"823","VEPH1"
"824","ANKRD20A8P"
"825","IFIH1"
"826","SZRD1"
"827","MIB2"
"828","C1orf131"
"829","SYAP1"
"830","ZNF566"
"831","NCEH1"
"832","PSPC1"
"833","ARPC4"
"834","PERM1"
"835","PRKAA1"
"836","PLCG2"
"837","FIBIN"
"838","ASH1L-AS1"
"839","BTN3A3"
"840","LMNB2"
"841","MIR1304"
"842","CPSF2"
"843","SLC46A3"
"844","PDSS1"
"845","LINC00578"
"846","SNORD60"
"847","MAF"
"848","DDX47"
"849","ARHGEF40"
"850","SLC25A46"
"851","GDF9"
"852","EVI5L"
"853","ZMYND12"
"854","TMEM129"
"855","GNA13"
"856","PDLIM4"
"857","ADH1C"
"858","NDE1"
"859","EEF1E1"
"860","GID4"
"861","CBX3P2"
"862","AGPAT2"
"863","TOR1B"
"864","TXNDC11"
"865","DNASE1"
"866","RBM43"
"867","KIF3A"
"868","CLTC"
"869","CCDC30"
"870","MBD1"
"871","HIST1H3J"
"872","TMEM39B"
"873","TFG"
"874","LRRC4"
"875","TRIP13"
"876","LINC00673"
"877","SVIL"
"878","DHPS"
"879","GPR162"
"880","PRSS12"
"881","LRFN1"
"882","SERPINB9"
"883","SLIT3"
"884","C1orf174"
"885","HAUS4"
"886","DMTF1"
"887","HSD3B7"
"888","CLTB"
"889","PDE7B"
"890","PPIP5K1"
"891","ROCK2"
"892","GLTPD2"
"893","SOWAHC"
"894","ASB6"
"895","ALKBH4"
"896","CINP"
"897","SESN1"
"898","PRKAR2B"
"899","C1orf210"
"900","SULF1"
"901","LIG3"
"902","INO80B"
"903","NDFIP1"
"904","ZNF174"
"905","KIAA1217"
"906","PLA2G12A"
"907","TPK1"
"908","GUSBP11"
"909","NDUFA1"
"910","LINC00313"
"911","ME3"
"912","SRD5A2"
"913","B3GNT4"
"914","MIPOL1"
"915","ENO2"
"916","ABCF1"
"917","KCMF1"
"918","SNORD15A"
"919","IL37"
"920","CASZ1"
"921","SAMD12"
"922","PLA2G4D"
"923","IYD"
"924","SPCS2"
"925","SNORA71D"
"926","ZNF638"
"927","MTFP1"
"928","MGRN1"
"929","DCLK2"
"930","STRBP"
"931","PRMT8"
"932","HIST1H4C"
"933","ZNF467"
"934","DCP1A"
"935","NR2F2"
"936","TAS2R30"
"937","PPP3CC"
"938","APOL3"
"939","IL20RA"
"940","MEX3D"
"941","WNT2B"
"942","PRPF38B"
"943","STK36"
"944","ZGLP1"
"945","ANKRD35"
"946","RBM47"
"947","PLEKHG7"
"948","ARSK"
"949","AP5Z1"
"950","HIST1H1B"
"951","FES"
"952","GTF2IP1"
"953","HNRNPH1"
"954","REEP1"
"955","SH2B3"
"956","IL6ST"
"957","ZNF71"
"958","SPG11"
"959","LRRC58"
"960","PLCXD2"
"961","APOL4"
"962","FILIP1L"
"963","TRAPPC13"
"964","PHB"
"965","STPG2"
"966","CHSY1"
"967","VARS2"
"968","POMGNT2"
"969","FSTL4"
"970","ZBTB5"
"971","CCDC74B"
"972","CDIPT"
"973","TAF1A-AS1"
"974","C1RL-AS1"
"975","ARPC5"
"976","C2CD2L"
"977","UBE2V2"
"978","DDN"
"979","KIAA1656"
"980","VPS4B"
"981","TMEM176B"
"982","FAM21EP"
"983","CP"
"984","RBM11"
"985","ZNF503"
"986","HIF1A"
"987","LINC00654"
"988","DDX19A"
"989","LOC101928303"
"990","FAM114A2"
"991","DLC1"
"992","FGFR1OP"
"993","HIST1H2BK"
"994","PAF1"
"995","NLRP1"
"996","EBP"
"997","MCCC1"
"998","GPRIN2"
"999","ULBP3"
"1000","FAM136A"
"1001","GALNT16"
"1002","PTPRE"
"1003","SLC38A2"
"1004","CDH26"
"1005","MAP1LC3B"
"1006","PLAG1"
"1007","GINS2"
"1008","C11orf24"
"1009","MOSPD3"
"1010","NOL11"
"1011","LYPLA2"
"1012","RUFY2"
"1013","RNF207"
"1014","SPATA2L"
"1015","DTX2P1-UPK3BP1-PMS2P11"
"1016","MDK"
"1017","CCT6B"
"1018","TGOLN2"
"1019","PRKAG1"
"1020","MATR3"
"1021","NFS1"
"1022","FMR1"
"1023","TMEM179B"
"1024","DLGAP3"
"1025","IRF2BP1"
"1026","PROM2"
"1027","ADAM32"
"1028","SPATS2L"
"1029","BAIAP2"
"1030","GTF2B"
"1031","ATP8A2"
"1032","MYRIP"
"1033","MYH16"
"1034","AHR"
"1035","LINC01023"
"1036","WDR36"
"1037","EMC9"
"1038","DEXI"
"1039","STXBP3"
"1040","IFIT1"
"1041","FBXO16"
"1042","ZZEF1"
"1043","AJAP1"
"1044","SNW1"
"1045","CTRL"
"1046","BRF1"
"1047","PCMT1"
"1048","QRICH2"
"1049","MAFG"
"1050","ADAMTS17"
"1051","PGBD4"
"1052","B9D1"
"1053","RGPD4"
"1054","LINC01347"
"1055","IL19"
"1056","ITGA7"
"1057","PEBP1"
"1058","CACNA1E"
"1059","SNX8"
"1060","CENPW"
"1061","CHMP6"
"1062","BET1L"
"1063","TTC23"
"1064","CCDC66"
"1065","MIR570"
"1066","GPR137"
"1067","COLGALT2"
"1068","DYSF"
"1069","THOC1"
"1070","SFT2D2"
"1071","EFTUD2"
"1072","LOC101929099"
"1073","LDLRAD3"
"1074","MXRA7"
"1075","PKD2"
"1076","GNG4"
"1077","PHF3"
"1078","BTBD8"
"1079","ARID5A"
"1080","SERPINE1"
"1081","BIK"
"1082","NPEPPS"
"1083","FOXH1"
"1084","TSPAN6"
"1085","PGLYRP3"
"1086","EXOSC3"
"1087","SYT13"
"1088","SLC35A3"
"1089","B9D2"
"1090","SDCBP"
"1091","IHH"
"1092","YBEY"
"1093","RBM20"
"1094","SPTLC3"
"1095","ATP6V1E1"
"1096","STXBP6"
"1097","LEMD3"
"1098","SSBP2"
"1099","ZMYND8"
"1100","PTPN3"
"1101","CLEC16A"
"1102","CCDC158"
"1103","TMEM230"
"1104","ZDHHC6"
"1105","RPL13P5"
"1106","ZNF525"
"1107","CNOT7"
"1108","HOOK1"
"1109","COPZ2"
"1110","DDX23"
