,x
1515,CDK11A
1516,ANXA6
1517,SNORD5
1518,MST1L
1519,CEP250
1520,CD72
1521,TRPM7
1522,CCNL1
1523,SFSWAP
1524,PCDHGA7
1525,TAS2R14
1526,ARGLU1
1527,SUSD3
1528,KCNC3
1529,TSSK1B
1530,IRX4
1531,CYP2C19
1532,MGAT3
1533,MDH1B
1534,DNAH2
1535,CCDC150
1536,PRAM1
1537,VWDE
1538,SMC4
1539,CEP152
1540,ERICH3
1541,ZNF114
1542,NKTR
1543,KIAA0753
1544,DEPDC4
1545,NUP62CL
1546,SCML2
1547,SAMD11
1548,SNORA61
1549,GRM7
1550,GREB1
1551,NBPF8
1552,IL16
1553,ZNF726
1554,FAM83C
1555,ENPP3
1556,ARHGAP11B
1557,SNORA26
1558,NEXN
1559,LHX5
1560,ZNF655
1561,UPF2
1562,SVEP1
1563,SNORA11
1564,DSCAML1
1565,DPH6
1566,NOC3L
1567,CACHD1
1568,TRIM45
1569,ABCC6P1
1570,AASDH
1571,SERPINA6
1572,GPATCH2
1573,CNTRL
1574,ZNF43
1575,USP48
1576,ZEB1
1577,ZNF439
1578,SYNE3
1579,NTNG1
1580,UTRN
1581,CCT6P1
1582,SNORA80E
1583,RBM44
1584,CDH11
1585,CREB5
1586,CLIP3
1587,ASPM
1588,IL1RL1
1589,RSRP1
1590,PCAT1
1591,PRC1
1592,ZNF550
1593,CXCR2
1594,GOLGA8B
1595,ZNF736
1596,EGR1
1597,PDCL3P4
1598,SGSM1
1599,DNAH7
1600,DMD
1601,CGNL1
1602,C2orf74
1603,FAM166A
1604,S100A7
1605,PCDHGB3
1606,COL5A2
1607,MYCT1
1608,ACTG1P4
1609,SPDEF
1610,HSD17B6
1611,UVSSA
1612,SRGAP3
1613,TTC21B
1614,USP15
1615,TEKT5
1616,SCN8A
1617,HSD17B7P2
1618,BRIP1
1619,VPS13B
1620,CCDC40
1621,ARHGAP20
1622,LRRCC1
1623,PRPF4B
1624,CLIC5
1625,ATE1-AS1
1626,SEC14L1P1
1627,VWA3A
1628,MEGF6
1629,PTPRQ
1630,ANKRD12
1631,PLA2G6
1632,GDNF
1633,DCAF4
1634,ACSM3
1635,GPR21
